query,url,repo_name,description,topics,created_at,updated_at,size,stars,watchers,language,forks,open_issues
energy measure is:public archived:false,https://github.com/hubblo-org/scaphandre,hubblo-org/scaphandre,"⚡ Energy consumption metrology agent. Let ""scaph"" dive and bring back the metrics that will help you make your systems and applications more sustainable !","carbon-footprint,electricity,electricity-consumption,electricity-meter,energy,energy-consumption,energy-efficiency,energy-monitor,greenit,hacktoberfest,measure,prometheus,qemu,rust,rust-lang,sustainability,virtual-machine,virtual-machines,wattmeter,watts",2020-10-16T14:10:05Z,2025-04-27T20:45:06Z,8466,1723,1723,Rust,111,91
energy measure is:public archived:false,https://github.com/ozel/DIY_particle_detector,ozel/DIY_particle_detector,A mobile low-cost spectrometer for measuring radioactivity and the energy of ionising radiation like alpha particles and electrons,"alpha-particles,electrons,radioactivity,sensors,silicon",2019-07-31T13:43:09Z,2025-04-26T18:19:07Z,23208,502,502,Python,42,0
energy measure is:public archived:false,https://github.com/sosy-lab/cpu-energy-meter,sosy-lab/cpu-energy-meter,A tool for measuring energy consumption of Intel CPUs,"energy,linux,rapl,resource-measurement",2015-11-19T13:28:07Z,2025-04-19T09:00:03Z,255,334,334,C,30,2
energy measure is:public archived:false,https://github.com/ml-energy/zeus,ml-energy/zeus,Measure and optimize the energy consumption of your AI applications!,"deep-learning,energy,mlsys",2022-08-13T21:20:30Z,2025-04-25T16:09:34Z,161709,245,245,Python,33,16
energy measure is:public archived:false,https://github.com/green-coding-solutions/green-metrics-tool,green-coding-solutions/green-metrics-tool,Measure energy and carbon consumption of software ,"carbon-emissions,carbon-footprint,carbon-measurement,climate-change,co2-emissions,co2-footprint,co2-measurement,energy-consumption-analysis,green-coding,green-computing,green-software,metrics,power-consumption,power-consumption-measurement,sustainability,sustainable-software",2022-02-25T13:45:29Z,2025-04-28T04:38:44Z,21526,204,204,Python,31,54
energy measure is:public archived:false,https://github.com/ThijsRay/coppers,ThijsRay/coppers,Coppers is a custom test harnass for Rust that measures the energy usage of your test suite.,"energy-efficiency,green-software,rust,sustainable-software",2022-03-17T11:43:09Z,2025-03-30T00:49:08Z,2969,183,183,Rust,7,0
energy measure is:public archived:false,https://github.com/responsibleproblemsolving/energy-usage,responsibleproblemsolving/energy-usage,Provides a function to measure the energy usage of another function.,,2019-07-15T17:17:20Z,2025-02-25T00:22:37Z,1815,155,155,Python,10,6
energy measure is:public archived:false,https://github.com/powerapi-ng/pyRAPL,powerapi-ng/pyRAPL,a library to measure the python energy consumption of python code,"code,energy-consumption,measure,python",2019-09-17T12:30:01Z,2025-04-23T16:05:21Z,138,108,108,Python,11,9
energy measure is:public archived:false,https://github.com/wattwisegames/watt-wiser,wattwisegames/watt-wiser,Tools to measure and visualize energy use on desktop computers,,2024-01-05T18:47:03Z,2025-04-10T11:24:21Z,15926,95,95,C++,2,0
energy measure is:public archived:false,https://github.com/apreb/eNode,apreb/eNode,Device to measure energy and temperature,,2017-04-04T22:07:17Z,2025-01-23T19:27:19Z,583,80,80,,13,4
